// CALIBRATION config file
//
// TDCchannel'\t'       CalibratedTime
//
5075	293.781
5076	293.781
5077	293.781
5078	293.781
5079	293.781
5080	293.781
5081	293.781
5082	293.781
5083	293.781
5084	293.781
5085	293.781
5086	293.781
5087	293.781
5088	293.781
5089	293.781
5090	293.781
5091	293.781
5092	293.781
5093	293.781
5094	293.781
5095	293.781
